time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-11-05,21471.49,21085.76,21150.6,33103.84,706196028.56,21301.57,direct,
2022-11-06,21363.27,20893.65,21301.57,27700.95,586960236.65,20910.59,direct,
2022-11-07,21066.63,20395.49,20910.59,72622.36,1506814091.81,20593.73,direct,
2022-11-08,20672.25,17452.87,20593.73,208299.18,4026079371.74,18544.7,direct,
2022-11-09,18581.64,15546.97,18544.7,245518.91,4215919087.89,15820.02,direct,
2022-11-10,18113.28,15674.81,15820.02,167486.58,2835119228.72,17559.67,direct,
2022-11-11,17644.1,16383.43,17559.67,103948.83,1767514338.22,17007.72,direct,
2022-11-12,17067.53,16603.78,17007.72,34631.17,582536367.95,16773.9,direct,
2022-11-13,16921.72,16235.01,16773.9,35382.36,586182485.99,16307.47,direct,
2022-11-14,17157.81,15797.71,16307.47,84268.36,1384247874.05,16592.04,direct,
2022-11-15,17091.76,16509.15,16592.04,76202.66,1282932319.76,16879.14,direct,
2022-11-16,16988.63,16373.11,16879.14,64606.13,1075046774.52,16648.05,direct,
2022-11-17,16731.41,16405.81,16648.05,39166.08,650179026.0,16680.21,direct,
2022-11-18,16975.14,16531.77,16680.21,45048.23,753255014.89,16677.95,direct,
2022-11-19,16798.75,16539.01,16677.95,17003.18,282884885.11,16683.72,direct,
2022-11-20,16730.0,16169.2,16683.72,28587.86,470894190.07,16253.6,direct,
2022-11-21,16272.47,15480.69,16253.6,80853.23,1289350720.98,15760.19,direct,
2022-11-22,16277.08,15600.3,15760.19,74140.47,1184556737.9,16198.25,direct,
2022-11-23,16676.49,16144.79,16198.25,66057.37,1087435133.37,16590.98,direct,
2022-11-24,16787.9,16453.52,16590.98,37641.28,624934230.62,16588.46,direct,
2022-11-25,16605.86,16336.71,16588.46,34733.48,572460119.25,16508.33,direct,
2022-11-26,16687.21,16382.61,16508.33,20929.5,346443601.6,16451.53,direct,
2022-11-27,16587.18,16401.91,16451.53,18193.37,300543689.5,16420.87,direct,
2022-11-28,16477.82,16000.76,16420.87,53565.6,867757025.61,16207.01,direct,
2022-11-29,16528.39,16096.7,16207.01,50846.01,833578637.87,16431.79,direct,
2022-11-30,17216.6,16424.76,16431.79,86349.91,1460126671.64,17162.35,direct,
2022-12-01,17255.22,16865.92,17162.35,57361.34,978462617.82,16978.64,direct,
2022-12-02,17102.08,16827.01,16978.64,45492.23,771518084.81,17094.49,direct,
2022-12-03,17152.49,16868.66,17094.49,24699.47,419139334.98,16888.31,direct,
2022-12-04,17194.4,16884.91,16888.31,29823.7,508091945.23,17111.76,direct,
2022-12-05,17409.45,16879.12,17111.76,62808.12,1077884559.22,16966.84,direct,
2022-12-06,17101.02,16917.86,16966.84,47766.64,811906594.36,17086.52,direct,
2022-12-07,17126.91,16713.28,17086.52,42127.95,710367336.21,16837.85,direct,
2022-12-08,17286.64,16757.86,16837.85,48682.69,827814503.9,17226.02,direct,
2022-12-09,17319.38,17077.4,17226.02,41460.2,712368959.63,17126.85,direct,
2022-12-10,17221.25,17102.71,17126.85,17288.71,296657331.89,17129.19,direct,
2022-12-11,17259.64,17080.42,17129.19,22135.09,379827965.39,17094.83,direct,
2022-12-12,17239.13,16881.75,17094.83,43450.3,739369625.44,17208.66,direct,
2022-12-13,17945.07,17096.23,17208.66,80026.6,1407400841.45,17775.32,direct,
2022-12-14,18344.32,17684.33,17775.32,84917.12,1523737945.31,17801.37,direct,
2022-12-15,17853.72,17296.89,17801.37,68490.07,1200283423.38,17359.21,direct,
2022-12-16,17520.63,16611.58,17359.21,88776.6,1508594012.33,16658.44,direct,
2022-12-17,16794.06,16593.68,16658.44,40996.08,684665347.29,16780.55,direct,
2022-12-18,16830.84,16673.02,16780.55,25188.36,421765916.48,16742.74,direct,
2022-12-19,16813.47,16350.32,16742.74,63181.42,1050395879.84,16442.79,direct,
2022-12-20,17028.68,16404.94,16442.79,78296.38,1315229591.09,16901.12,direct,
2022-12-21,16922.92,16737.8,16901.12,42277.5,711271059.5,16821.13,direct,
2022-12-22,16860.78,16571.31,16821.13,48646.01,814340454.91,16816.01,direct,
